series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
6746,Durarara!!,TV,24,0,24,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
27833,Durarara!!x2 Ketsu,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
23199,Durarara!!x2 Shou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
27831,Durarara!!x2 Ten,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
42192,Edens Zero,TV,25,0,24,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
226,Elfen Lied,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38671,Enen no Shouboutai,TV,24,0,24,0000-00-00,2020-06-17,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40956,Enen no Shouboutai: Ni no Shou,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
790,Ergo Proxy,TV,23,0,1,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
3786,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39063,Fairy Gone,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
6702,Fairy Tail,TV,175,0,175,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22043,Fairy Tail (2014),TV,102,0,102,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12049,Fairy Tail Movie 1: Houou no Miko,Movie,1,0,1,0000-00-00,0000-00-00,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Special,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30778,Fairy Tail Movie 2: Dragon Cry,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49785,Fairy Tail: 100 Years Quest,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35972,Fairy Tail: Final Series,TV,51,0,51,0000-00-00,2019-09-30,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34662,Fate/Apocrypha,TV,25,0,17,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
34321,Fate/Grand Order: First Order,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31706,Fate/kaleid liner Prisma☆Illya 3rei!!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
356,Fate/stay night,TV,24,0,24,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
27821,Fate/stay night: Unlimited Blade Works Prologue,Special,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10087,Fate/Zero,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11741,Fate/Zero 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
227,FLCL,OVA,6,0,2,0000-00-00,0000-00-00,,9,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
33010,FLCL Progressive,Movie,1,0,0,2016-08-08,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32979,Flip Flappers,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
121,Fullmetal Alchemist,TV,51,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,64,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6421,Fullmetal Alchemist: Brotherhood Specials,Special,4,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
430,Fullmetal Alchemist: The Conqueror of Shamballa,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,2,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
4725,Ga-Rei: Zero,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30544,Gakusen Toshi Asterisk,TV,12,0,12,2016-07-08,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31737,Gakusen Toshi Asterisk 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34280,Gamers!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17651,Genei wo Kakeru Taiyou,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32936,Gin no Guardian,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35757,Gin no Guardian II,TV,6,0,6,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14131,Girls & Panzer,TV,12,0,1,2016-06-15,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
25907,Glass no Hana to Kowasu Sekai,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37349,Goblin Slayer,TV,12,0,4,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
27631,God Eater,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
